idx,x1,y1,x2,y2,x3,y3
0, 0.014503918639191012, -0.006623038122581377, -0.002308320701170708, 0.029730216972106406, -0.030199338998116262, -0.03178078996965223
1, 0.014501549478922245, -0.006639865152947165, -0.00197148711639448, 0.02872312474089311, -0.02917007615870795, -0.02536477269771911
2, 0.01450426681976862, -0.00662173201394047, -0.0019478086012530045, 0.030105151255639007, -0.029992150046287077, -0.01387536251371549
3, 0.014506105616656845, -0.0066182442976368576, -0.0019286137539359768, 0.029999634049516336, -0.029169476897000557, -0.025334500462828643
4, 0.014502944859278099, -0.006626172195358468, -0.001905281960681562, 0.028790139744767337, -0.029878161291291, -0.012954544141079459
5, 0.014503355746495618, -0.006620639469917933, -0.002335379863408326, 0.029937981637058343, -0.029856149299389206, -0.013009519560380961
6, 0.01450214013536626, -0.00661836598852977, -0.0021711125724922812, 0.029969953563703765, -0.02965424453786078, -0.03200803926899496
7, 0.014501813853956652, -0.006617578951152623, -0.0019251053737175934, 0.029973247366661866, -0.03127265097054342, -0.027187797400201323
8, 0.014501258705170567, -0.006637498983096403, -0.0019658975151278183, 0.029523425779798874, -0.030830960563831264, -0.02001446387466499
9, 0.014501057469306513, -0.00662828754915824, -0.001960223324105421, 0.02872850695666081, -0.029855584658738187, -0.013012424967374429
10, 0.01450134131042014, -0.0066186494587175, -0.0022980388286604316, 0.02970322091100034, -0.0308320571535398, -0.020030174456047926
11, 0.014500660196785734, -0.006627287958523142, -0.00197605290594698, 0.028713540823491288, -0.03019885064014846, -0.03178252535220738
12, 0.014500860516635235, -0.0066170208917422455, -0.001992290574127438, 0.028750318568036396, -0.029830399318948656, -0.03201135256821942
13, 0.014503691325296568, -0.006621560889292567, -0.001985001411255515, 0.028713718595256104, -0.029471396700094982, -0.018863298129813248
14, 0.014500523586481077, -0.006615782215887237, -0.0023352602250063265, 0.0299361543825407, -0.029507949477147615, -0.02953015479605147
15, 0.014500053634513664, -0.006628053748871786, -0.0021268884204744894, 0.02924008853671985, -0.029919755606555496, -0.012984824164785285
16, 0.01450207836777869, -0.0066188745127301225, -0.0022997652293802007, 0.02970560696496212, -0.028791627856354515, -0.020010518144272852
17, 0.01450220679358124, -0.00661721489105747, -0.0019102840922578727, 0.029790323076630987, -0.029169607569465288, -0.0253486457790424
